Song Name,Lyrics,Composer,Lyricist,Singer,Album,Year,Metaphor,Source Domain,Target Domain,Type of Metaphor,Interpretation
காட்டுச் சிறுக்கி,காட்டுச் சிறுக்கி காட்டுச் சிறுக்கி யார் காட்டுச் சிறுக்கி இவ மழை கொடுப்பாளோ இடி இடிப்பாளோ மாயமாய் போவாளோ  ஓ காட்டுச் சிறுக்கி காட்டுச் சிறுக்கி யார் காட்டுச் சிறுக்கி இவ மழை கொடுப்பாளோ இடி இடிப்பாளோ மாயமாய் போவாளோ  ஈக்கி மின்னல் அடிக்குதடி யாத்தே ஈர கொலக் துடிக்குதடி யாத்தே (2)  நச்சு மனம் மச்சினியோடு மச்சினியோடு மருகுதடி அவ நெத்தியுல வச்ச பொட்டுல என் நெஞ்சாங்குழியே ஒட்டுதே அவ நெத்தியுல வச்ச பொட்டுல என் நெஞ்சாங்குழியே ஒட்டுதே அவ பார்வையில் எலும்புக பல்பொடி ஆச்சே  காட்டுச் சிறுக்கி காட்டுச் சிறுக்கி யார் காட்டுச் சிறுக்கி இவ மழை கொடுப்பாளோ இடி இடிப்பாளோ மாயமாய் போவாளோ  யாரோ எவளோ யாரோ எவளோ யார் காட்டுச் சிறுக்கி இவ மழை கொடுப்பாளோ இடி இடிப்பாளோ மாயமாய் போவாளோ  தண்டை அணிஞ்சவ கொண்டை அரிஞ்சதும் அண்டசராசரம் போச்சு வண்டு தொடாமுகம் கண்டு வனாந்தரம் வாங்குதே பெருமூச்சு  காட்டுச் சிறுக்கி காட்டுச் சிறுக்கி காட்டுச் சிறுக்கி காட்டுச் சிறுக்கி யார் காட்டுச் சிறுக்கி இவ மழை கொடுப்பாளோ இடி இடிப்பாளோ மாயமாய் போவாளோ  உச்சந்தலை வகிடு வழி ஒத்த மனம் அலையுதடி ஒதட்டு வரி பள்ளத்துல உசிர் விழுந்து தவிக்குதடி  பாழாப் போன மனசு பசியெடுத்து கொண்ட பத்தியத்த முறிக்குதடி பாராங்கல்ல சொமந்து வழி மறந்து ஒரு நத்தக்குட்டி நகருதடி  கொண்டக் காலு செவப்பும் மூக்கு வனப்பும் என்னக் கிறுக்குன்னு சிரிக்குதடி ஓ காட்டுச் சிறுக்கி காட்டுச் சிறுக்கி யார் காட்டுச் சிறுக்கி இவ மழை கொடுப்பாளோ இடி இடிப்பாளோ மாயமாய் போவாளோ  யாரோ எவளோ யாரோ எவளோ யார் காட்டுச் சிறுக்கி இவ மழை கொடுப்பாளோ இடி இடிப்பாளோ மாயமாய் போவாளோ  தண்டை அணிஞ்சவ கொண்டை அரிஞ்சதும் அண்டசராசரம் போச்சு வண்டு தொடாமுகம் கண்டு வனாந்தரம் வாங்குதே பெருமூச்சு  ..  ஏ ஹே ஏர் கிழிச்ச தடத்து வழி நீர் கிழிச்சு போவது போல் நீ கிழிச்ச கோட்டு வழி நீளுதடி எம்பொழப்பு  ஆஆ ஆஆ ஆஆ ஆஆ  ஊரான் காட்டு கனியே உன்ன நெனச்சு நெஞ்சு சப்புக்கொட்டித் துடிக்குதடி யாத்தே இது சரியா இல்ல தவறா நெஞ்சில் கத்திச் சண்டை நடக்குதடி  உன்ன முன்ன நிறுத்தி என்ன நடத்தி கெட்ட விதி வந்து சிரிக்குதடி  ஓ காட்டுச் சிறுக்கி காட்டுச் சிறுக்கி ஓ காட்டுச் சிறுக்கி காட்டுச் சிறுக்கி யார் காட்டுச் சிறுக்கி இவ மழை கொடுப்பாளோ இடி இடிப்பாளோ மாயமாய் போவாளோ  காட்டுச் சிறுக்கி காட்டுச் சிறுக்கி யார் காட்டுச் சிறுக்கி இவ காட்டுச் சிறுக்கி காட்டுச் சிறுக்கி யார் காட்டுச் சிறுக்கி இவ  காட்டுச் சிறுக்கி காட்டுச் சிறுக்கி யார் காட்டுச் சிறுக்கி இவ மழை கொடுப்பாளோ இடி இடிப்பாளோ மாயமாய் போவாளோ  காட்டுச் சிறுக்கி காட்டுச் சிறுக்கி யார் காட்டுச் சிறுக்கி இவ காட்டுச் சிறுக்கி காட்டுச் சிறுக்கி யார் காட்டுச் சிறுக்கி இவ (2) ஆஆ ஹா ஆஆ ஹா ஆ,ஏ. ஆர். ரஹ்மான்,வைரமுத்து,ஹரிகரன்,ராவணன்,2010,ஊரான் காட்டு கனியே,ஊரான் காட்டு கனியே,பெண்,குணம் சார்,தவறான காதல்
வாஜி வாஜி,ஆம்பல் ஆம்பல் மவ்வல் மவ்வல் (2)  பூம்பாவாய் ஆம்பல் ஆம்பல் புன்னகையோ மவ்வல் மவ்வல்  உன் பூவிழிப் பார்வை போதுமடி என் பூங்கா இலைகளும் மலருமடி உன் கால்கொலுசொலிகள் போதுமடி பல கவிஞர்கள் கற்பனை தவிடுபொடி  வாஜி வாஜி வாஜி என் ஜீவன் சிவாஜி (2) அன்பா வாளை எடு அழகை சாணையிடு உன்ஆண் வாசனை என் மேனியில் நீ பூசிவிடு  அடி நெட்டை நிலவே ரெட்டைத் திமிரே நெஞ்சில் முட்டிக் கொல்லு  வாஜி வாஜி வாஜி என் ஜீவன் சிவாஜி (2)  பூம்பாவாய் ஆம்பல் ஆம்பல் புன்னகையோ மவ்வல் மவ்வல்  ..   ஒரு வெண்ணிலவை மணக்கும் மன்மதன் நான் என் தேன்நிலவே ஒரு நிலவுடன் தான் அவள் யாருமில்லை இதோ இதோ இவள்தான்  புன்னகை பேர் அரசே தேன்குளத்து பூவுக்குள் குளிப்பேரா ஆ ஆ ஹா புன்னகை பேர் அரசே தேன்குளத்து பூவுக்குள் குளிப்பேரா விடியும்வரை மார்புக்குள் இருப்பேரா விழிகளுக்குள் சிறுதுயில் கொள்வேரா ஓ.. பெண்களிடம் சொல்வது குறைவு செய்வது அதிகம் செயல்புயல் நானடி  வாஜி வாஜி வாஜி என் ஜீவன் சிவாஜி (2)  பூம்பாவாய் ஆம்பல் ஆம்பல் புன்னகையோ மவ்வல் மவ்வல்    பொன் வாக்கியமே வாய் வாத்தியமே உன் வளைவுகளில் உள்ள நெளிவுகளில் வந்து ஒளிந்து கொண்டேன் சுகம்சுகம் கண்டேன்  ஆனந்த வெறியில் நான் ஆடைகளில் பூமியை முடிந்து கொண்டேன் விண்வெளியில் ஜதிசொல்லி ஆடி வெண்ணிலவைச் ஜகதியும் ஆக்கிவிட்டேன்  அடடா குமரியின் வளங்கள் குழந்தையின் சிணுங்கல் முரண்பாட்டு மூட்டை நீ  வாஜி வா வா வா வாஜி வாஜி வாஜி என் ஜீவன் சிவாஜி வாஜி வாஜி வாஜி ஹே ஹே ஹே என் ஜீவன் சிவாஜி  ஓ பூம்பாவாய் ஆம்பல் ஆம்பல் புன்னகையோ மவ்வல் மவ்வல்  உன் பூவிழிப் பார்வை போதுமடி என் பூங்கா இலைகளும் மலருமடி உன் கால்கொலுசொலிகள் போதுமடி பல கவிஞர்கள் கற்பனை தவிடுபொடி  ஆம்பல் ஆம்பல் மவ்வல் மவ்வல் (2),ஏ. ஆர். ரஹ்மான்,வைரமுத்து,ஹரிகரன்,சிவாஜி,2007,பொன் வாக்கியமே,பொன் வாக்கியம்,பெண்,குணம் சார்,பெண் சார் வர்ணணை
இதயம் இடம் மாறியதே,இதயம் இடம் மாறியதே விழிகள் வழி மாறியதே இதுதானே காதல் என்று அசரீரி கேட்கின்றதே  இந்த பூமி முழுவதும் அழகாய் மாறி போனதேனோ என் வானின் மீது புதிதாய் ஒரு மேகம் மிதப்பதேனோ  மனமே மனமே எதனால் இத்தனை உற்சாகம் உனக்குள்ளே புது வித தடுமாற்றம் உனக்கென்ன நடந்தது சொல்வாயோ  ஓஹோ மனமே மனமே எதனால் இத்தனை கொண்டாட்டம் கண்ணுக்குள் கனவுகள் குடியேற்றம் உனக்கென்ன நடந்தது சொல்வாயோ  ..  சென் சூரியன் ஜோதியில் சந்திரன் ஒளி சேர்ந்ததோ அசைந்தாடும் ஆழியில் அழகிய நதி கலந்ததோ  சென் சூரியன் ஜோதியில் சந்திரன் ஒளி சேர்ந்ததோ அசைந்தாடும் ஆழியில் அழகிய நதி கலந்ததோ  காலம் என்னும் நதியில் விழுந்து இரவும் நகர்ந்தது பகலும் நகர்ந்தது இதயம் நகர்ந்தது ஓ  இதயம் இடம் மாறியதே விழிகள் வழி மாறியதே இதுதானே காதல் என்று அசரீரி கேட்கின்றதே ஹ்ம்ம் அலைபாயும் காதலே அணையாத தீயா வலித்தாலும் காதலே இனிக்கின்ற நோயா  இசையோடு சேரும் தாளம் சுதியோடு பாடும் ராகம் அதைப்போல எந்தன் நெஞ்சம் உன்னை சேர்ந்ததே  உள்ளம் சாய்ந்ததே காதலின் கால்தடம் தந்ததும் தீயா தந்ததும் தீயா தீயை தொட்டு ரசித்தால் வந்ததும் நீயா  ஹ்ம்ம் எந்தன் கனவில் பூந்தோட்டம் பூக்கள் பூக்கும் பெண்ணே உன்னாலே பூவின் வண்ணம் மட்டும் என் சொந்தம் பூவின் வாசம் எல்லாமே உன் சொந்தமே  புது யுகமே பிறந்ததோ பரிமாற்றம் நிகழ்ந்ததோ இரு துருவம் இணைந்ததோ இரு விழிகள் தொலைந்ததோ (2)  காலம் என்னும் நதியில் விழுந்து இரவும் நகர்ந்தது பகலும் நகர்ந்தது இதயம் நகர்ந்தது ஓ  இதயம் இடம் மாறியதே விழிகள் வழி மாறியதே இதுதானே காதல் என்று அசரீரி கேட்கின்றதே  மனமே மனமே எதனால் இத்தனை உற்சாகம் உனக்குள்ளே புது வித தடுமாற்றம் உனக்கென்ன நடந்தது சொல்வாயோ உனக்கென்ன நடந்தது சொல்வாயோ,ஏ. ஆர். ரஹ்மான்,நா முத்துக்குமார்,கார்த்திக்,ஜோதா அக்பர்,2008,அழகிய நதி கலந்ததோ,அழகிய நதி,பெண்,குணம் சார்,பெண் சார் விபரிப்பு
சிநேகிதனே,சிநேகிதனே சிநேகிதனே ரகசிய சிநேகிதனே சின்ன சின்னதாய் கோாிக்கைகள் செவி கொடு சிநேகிதனே இதே அழுத்தம் அழுத்தம் இதே அணைப்பு அணைப்பு வாழ்வின் எல்லை வரை வேண்டும் வேண்டும் வாழ்வின் எல்லை வரை வேண்டும் வேண்டும் சிநேகிதனே சிநேகிதனே ரகசிய சிநேகிதனே  சின்னச் சின்ன அத்துமீறல் புாிவாய் என் செல் எல்லாம் பூக்கள் பூக்கச் செய்வாய் மலா்களில் மலா்வாய் பூப்பறிக்கும் பக்தன் போல மெதுவாய் நான் தூங்கும் போது விரல் நகம் களைவாய் சத்தமின்றி துயில்வாய்  ஐவிரல் இடுக்கில் ஆலிவ் எண்ணெய் பூசி சேவையும் செய்ய வேண்டும் நீ அழும்போது நான் அழ நோ்ந்தால் துடைக்கின்ற விரல் வேண்டும்  சிநேகிதனே சிநேகிதனே ரகசிய சிநேகிதனே சின்ன சின்னதாய் கோாிக்கைகள் செவி கொடு சிநேகிதனே நேற்று முன்னிரவில் உன் நித்திலப்பூ மடியில் காற்று நுழைவது ஓ உயிா் கலந்து களித்திருந்தேன் இன்று விண்ணிலவில் அந்த ஈர நினைவில் கன்று தவிப்பது ஓ மனம் கலங்கி புலம்புகிறேன் கூந்தல் நெளிவில் எழில் கோலச்சாிவில் (2) கா்வம் அழிந்ததடி.. என் கா்வம் அழிந்ததடி  சொன்னதெல்லாம் பகலிலே புாிவேன் நீ சொல்லாததும் இரவிலே புாிவேன் காதில் கூந்தல் நுழைப்பேன் உந்தன் சட்டை நானும் போட்டு அலைவேன் நீ குளிக்கையில் நானும் கொஞ்சம் நனைவேன் உப்பு மூட்டை சுமப்பேன் உன்னை அள்ளி எடுத்து உள்ளங்கையில் மடித்து கைக்குட்டையில் ஒளித்துக் கொள்வேன் வேளைவரும் போது விடுதலை செய்து வேண்டும் வரம் வாங்கிக் கொள்வேன்  சிநேகிதனே சிநேகிதனே ரகசிய சிநேகிதனே சின்ன சின்னதாய் கோாிக்கைகள் செவி கொடு சிநேகிதனே,ஏ. ஆர். ரஹ்மான்,வைரமுத்து,சந்தனா சர்க்கம்,அலைபாயுதே,2000,உன் நித்திலப்பூ மடியில்,நித்தில பூ,பெண்ணின் மடி,குணம் சார்,பெண்ணின் உடல்/ மடி சார் விபரிப்பு
வான் நிலா,வான் நிலா தரும் ஒளி இவள் விழி தேன் பலா தரும் சுவை இவள் மொழி தமிழ்தானோ  பாற்புகழ் நைல் நதி இவள் நடை தாமரை மலர்கொடி இவள் இடை தமிழ் பெண்ணோ  உன் அழகினை பாட என் தமிழ் மொழி போதாது நான் உவமைகள் சொன்னால் அது முழுமையென்றாகாது  நீ ஒரே ஒருதரம் பிறந்தவள் அவன் படைப்பினில் மிக சிறந்தவள் ஓஹோஹோ ஹோ ஓஓ ஓஓ  சிலு சிலுவென விழும் புது பனி துளியோ மழை எழுதும் முதல் கவியோ தம் தம் தம் சங் சங்கீதம் கொலுசோடு ஜல் நீலம் தொயித்த அந்த ஆகாயம் உந்தன் மேலாடும் நூலாடையோ  ஒரு சரம் சிரிக்கையில் தெரிக்கையில் புது புது கவிதைகள் புறப்படும் புலப்படும்  ரதியே ரதம்போல் நடந்தேன் நீ வரும் வழி எங்கும் குறுஞ்சி மலர்போல் குலுங்கும் கூர் நெருஞ்சி முள் என்றும்  நதிக்குள் குதிக்கும் மீன்கள் உன் நீள் விழி கண்டு நிலத்தில் வாழும் மீனோ என வியர்ப்பது உண்டு  வான் நிலா தரும் ஒளி இவள் விழி தேன் பலா தரும் சுவை இவள் மொழி தமிழ்தானோ பாற்புகழ் நைல் நதி இவள் நடை தாமரை மலர்கொடி இவள் இடை தமிழ் பெண்ணோ  தினம் தினம் மனதினில் முதல் முகமெழுதி ரசித்திருப்பேன் உயிர் தழுவி  கா தல் தே வி என் நெஞ்சம் உன் கோயில் தான் காதல் என்னும் அந்த ஒர் தீபம் எந்தன் எண்ணங்கள் ஏற்றதோ  இடி மின்னல் மழையிலும் அடிகின்ற புயலிலும் உயிர் உள்ள வரையிலும் ஒளி விடும் விளக்கிது  என்னை தான் கணம் நீ பிரிந்தால் நீர் விழிகளும் வார்க்கும் உன்னைதான் வருத்தும் அவள் யார் என இயற்கையும் கேட்கும்  பெண்ணை அழகாய் படைத்தால் அந்த இயற்கையும் வேலை அறிந்தும் என்னையே கேட்டாய் அட இது என்ன லீலை  வான் நிலா தரும் ஒளி இவள் விழி தேன் பலா தரும் சுவை இவள் மொழி தமிழ்தானோ  பாற்புகழ் நைல் நதி இவள் நடை தாமரை மலர்கொடி இவள் இடை தமிழ் பெண்ணோ  உன் அழகினை பாட என் தமிழ் மொழி போதாது நான் உவமைகள் சொன்னால் அது முழுமையென்றாகாது  நீ ஒரே ஒருதரம் பிறந்தவள் அவன் படைப்பினில் மிக சிறந்தவள் ஓஹோஹோ ஹோ ஓஓ ஓஓ,ஏ. ஆர். ரஹ்மான்,வாலி,ஸ்ரீனிவாஷ்,காதல் வைரஸ்,2002,பாற்புகழ் நைல் நதி இவள் நடை,பாற்புகழ் நைல் நதி,பெண்ணின் நடை,குணம் சார்,பெண்ணின் குணம்/ நடை சார் வர்ணணை
ஃபை ஃபை ஃபை,ஃபை ஃபை ஃபை கலாச்சிஃபை கருப்பா நீ வா என்ன கலாச்சிஃபை ஃபை ஃபை ஃபை சொதப்பி ஃபை பொறுப்பா நீ இருக்காத சொதப்பிஃபை வெட்கத்த வேணான்னு ஓட்டிஃபை நெஞ்சோட நீங்காம ஒட்டிஃபை முத்தாயி முத்தத்த வாயோடு வாய் வச்சி ஃபை ஃபை ஃபை கலாச்சிஃபை கருப்பா நீ வா என்ன கலாச்சிஃபை ஃபை ஃபை ஃபை சொதப்பி ஃபை பொறுப்பா நீ இருக்காத சொதப்பிஃபை வெட்கத்த வேணான்னு ஓட்டிஃபை நெஞ்சோட நீங்காம ஒட்டிஃபை முத்தாயி முத்தத்த வாயோடு வாய் வச்சி செல்லு கட மாமா என் செல்ல செல்ல மாமா நீ சொல்ல சொல்ல காதல் வரும் நீ டெல்லிஃபை ஆசையில்லா ஆணா நீ சிம்மு இல்லா ஃபோனா நீ சிக்னல் இங்க ஃபுள்ளுனாலும் என் திங்கிஃபை டச் டச்சு ஸ்கிரீனாட்டம் முன்ன வந்து நின்னா என்ன வந்து நீ நோண்டி ஃபை ஃபை பச்ச பச்சயாக என் இச்சையெல்லாம் சொன்னா அச்சமெல்லாம் நீ போக்கி ஃபை ஃபை ஃபை ஃபை ஃபை ஃபை ஃபை ஃபை ஃபை ஃபை ஃபை கலாச்சி ஃபை கருப்பா நீ வா என்ன கலாச்சி ஃபை ஃபை ஃபை ஃபை சொதப்பி ஃபை பஞ்சாயத்து கூட்டிஃபை எட்டுபட்டி கேட்டுஃபை நியாயம் எது தர்மம் எது நீ பார்த்துஃபை நாட்டத்த நான் சொல்லிஃபை குத்தமென்ன தள்ளிஃபை நாட்டாமையும் தீர்ப்ப கொஞ்சம் நீ மாத்திஃபை திக்கு திக்கு பேச்சால கொக்கி கொக்கி போட்ட என்ன என்ன நீ தூக்கி ஃபை ஃபை நெல்லிவெட்டு கண்ணால அல்லிமொட்டு மேலே தட்டி தட்டி நீ தாக்கி ஃபை ஃபை ஃபை ஃபை ஃபை ஃபை ஃபை ஃபை ஃபை ஃபை ஃபை கலாச்சிஃபை கருப்பா நீ வா என்ன கலாச்சிஃபை ஃபை ஃபை ஃபை சொதப்பி ஃபை பொறுப்பா நீ இருக்காத சொதப்பிஃபை வெட்கத்த வேணான்னு ஓட்டிஃபை நெஞ்சோட நீங்காம ஒட்டிஃபை முத்தாயி முத்தத்த வாயோடு வாய் வச்சி,இமான்,மதன் கார்க்கி,ரம்யா நம்பீசன்,பாண்டிய நாடு,2013,நெல்லி வெட்டுக் கண்ணால,,ஆணின் கண்,பண்பு சார்,பெண்ணின் கண் கூர்மை
வெண்மேகம்,வெண்மேகம் பெண்ணாக உருவானதோ என் நேரம் எனைப் பார்த்து விளையாடுதோ உன்னாலே பல ஞாபகம் என் முன்னே வந்தாடுதே ஒரு நெஞ்சம் திண்டாடுதே வார்த்தை ஒரு வார்த்தை சொன்னால் என்ன பார்வை ஒரு பார்வை பார்த்தால் என்ன உன்னாலே பல ஞாபகம் என் முன்னே வந்தாடுதே ஒரு நெஞ்சம் திண்டாடுதே  வெண்மேகம் பெண்ணாக உருவானதோ என் நேரம் எனைப் பார்த்து விளையாடுதோ  மஞ்சள் வெயில் நீ மின்னல் ஒளி நீ உன்னைக் கண்டவரை கண் கலங்க நிற்க வைக்கும் தீ பெண்ணே என்னடி உண்மை சொல்லடி ஒரு புன்னகையில் பெண்ணினமே கோபபட்டதென்னடி தேவதை வாழ்வது வீடில்லை கோயில் கடவுளின் கால் தடம் பார்க்கிறேன் ஒன்றா இரண்டா உன் அழகை பாட கண் மூடி ஒரு ஓரம் நான் சாய்கிறேன் கண்ணீ­ரில் ஆனந்தம் நான் காண்கிறேன் உன்னாலே பல ஞாபகம் என் முன்னே வந்தாடுதே ஒரு நெஞ்சம் திண்டாடுதே  எங்கள் மனதை கொள்ளை அடித்தாய் இந்த தந்திரமும் மந்திரமும் எங்கு சென்று படித்தாய் விழி அசைவில் வலை விரித்தாய் உன்னை பல்லக்கினில் தூக்கி செல்ல கட்டளைகள் விதித்தாய் உன் விரல் பிடித்திடும் வரம் ஒன்று கிடைக்க உயிருடன் வாழ்கிறேன் நானடி என் காதலும் என்னாகுமோ உன் பாதத்தில் மண்ணாகுமோ  வெண்மேகம் பெண்ணாக உருவானதோ என் நேரம் எனைப் பார்த்து விளையாடுதோ,யுவன் ஷங்கர் ராஜா,நா முத்துக்குமார்,ஹரிகரன்,யாரடி நீ மோகினி,2008,விழி அசைவில் வலை விரித்தாய்,வலை,பெண்ணின் விழி அசைவு,குணம் சார்,காதலியின் குணம்/ பார்வை சார் விபரிப்பு
அடடா மழைடா,அடடா மழைடா அட மழைடா அழகா சிாிச்சா புயல் மழைடா அடடா மழைடா அட மழைடா அழகா சிாிச்சா புயல் மழைடா  மாறி மாறி மழை அடிக்க மனசுக்குள்ள குடை பிடிக்க கால்கள் நாலாச்சு கைகள் எட்டாச்சு என்னாச்சு ஏதாச்சு ஏதேதோ ஆயாச்சு  மயில் தோக போல இவ மழையில் ஆடும் போது ரயில் பாலம் போல என் மனசும் ஆடும் பாரு என்னாச்சு ஏதாச்சு ஏதேதோ ஆயாச்சு  அடடா மழைடா அட மழைடா அழகா சிாிச்சா புயல் மழைடா    பாட்டு பாட்டு பாடாத பாட்டு மழை தான் பாடுது கேட்காத பாட்டு உன்னை என்னை சோ்த்து வச்ச மழைக்கொரு சலாம் போடு என்னை கொஞ்சம் காணலயே உனக்குள்ள தேடி பாரு  மந்திரம் போல இருக்கு புது தந்திரம் போல இருக்கு பம்பரம் போல எனக்கு தல மத்தியில் சுத்துது கிறுக்கு  தேவதை எங்கே என் தேவதை எங்கே அது சந்தோஷமா ஆடுது இங்கே உன்னப்போல வேறாறும் இல்ல என்னவிட்டா வேறாறு சொல்ல சின்ன சின்ன கண்ணு ரெண்டு கொடுத்தென்ன அனுப்பி வெச்சான்  இந்த கண்ணு போதலயே எதுக்கிவள படைச்சி வெச்சான்  பட்டாம்பூச்சி பொண்ணு நெஞ்சு படபடக்கும் நின்னு பூவும் இவளும் ஒண்ணு என்னை கொன்னுப்புட்டா கொன்னு  போவது எங்கே நான் போவது எங்கே மனம் தள்ளாடுதே போதையில் இங்கே  அடடா மழைடா அட மழைடா அழகா சிாிச்சா அனல் மழைடா அடடா மழைடா அட மழைடா அழகா சிாிச்சா அனல் மழைடா  பின்னி பின்னி மழை அடிக்க மின்னல் வந்து குடை பிடிக்க வானம் ரெண்டாச்சு பூமி துண்டாச்சு என் மூச்சு காத்தால மழ கூட சூடாச்சு  குடையை நீட்டி யாரும் இந்த மழையை தடுக்க வேணாம் அணைய போட்டு யாரும் என் மனச அடக்க வேணாம் கொண்டாடு கொண்டாடு கூத்தாடி கொண்டாடு,யுவன் ஷங்கர் ராஜா,நா முத்துக்குமார்,ராகுல் நம்பியார்,பையா,2010,ரயில் பாலம் போல என் மனசும் ஆடும் பாரு,ரயில் பாலம்,ஆணின் மனது,தொழில் சார்,காதலனின் இதய துடிப்பு
வா வா நிலவை,ஹ்ம்ம்ம்ம்ம்ம்ம்ம்ம்ம்ம்ம்.. ஹ்ம்ம்ம்ம்ம்ம்ம்ம்ம்ம்ம்ம்..  வா வா நிலவை புடிச்சுத் தரவா வெள்ளி பொம்மையாக்கி தரவா ஓஹோ விடியும் போதுதான் மறைஞ்சு போகுமே கட்டிப்போடு மெதுவா (2)  வானத்தில் ஏறி ஏணி கட்டு மேகத்தை அள்ளி மால கட்டு   வா வா கட்டலாம் அன்பால் படி கட்டு வா வா கட்டலாம் அன்பால் படி கட்டு ஓ ஓ.ஓ ஓ. ஓ ஓ.ஓ ஓ.  வா வா நிலவை புடிச்சுத் தரவா வெள்ளி பொம்மையாக்கி தரவா ஓஹோ விடியும் போதுதான் மறைஞ்சு போகுமே கட்டிப்போடு மெதுவா  கவலை நம்மை சில நேரம் கூரு போட்டு துண்டாக்கும் தீயினை தீண்டி வாழும்போதே தீபத்தில் வெளிச்சம் உண்டாகும்  கடலை சேரும் நதி யாவும் தன்னை தொலைத்து உப்பாகும் ஆயினும் கூட மழையாய் மாறி மீண்டும் அதுவே முத்தாகும்  ஒரு வட்டம்போலே வாழ்வாகும் வாசல்கள் இல்லா கனவாகும் அதில் முதலும் இல்லை முடிவும் இல்லை புரிந்தால் துயரம் இல்லை  வா வா கட்டலாம் அன்பால் படி கட்டு வா வா கட்டலாம் அன்பால் படி கட்டு ஓ ஓ.ஓ ஓ. ஓ ஓ.ஓ ஓ.  வா வா நிலவை புடிச்சுத் தரவா வெள்ளி பொம்மையாக்கி தரவா ஓஹோ விடியும் போதுதான் மறைஞ்சு போகுமே கட்டிப்போடு மெதுவா  .  ஆஹா இரவை பார்த்து மிரளாதே இதயம் வேர்த்து துவளாதே இரவுகள் மட்டும் இல்லை என்றால் நிலவின் அழகு தெரியாதே  கனவில் நீயும் வாழாதே கலையும் போது வருந்தாதே கனவில் பூக்கும் பூக்களை எல்லாம் கைகளில் பறித்திட முடியாதே  அந்த வானம் போலே உறவாகும் மேகங்கள் தினமும் வரும் போகும் அட வந்தது போனால் மறுபடி ஒன்று புதிதாய் உருவாகும்  வா வா கட்டலாம் அன்பால் படி கட்டு வா வா கட்டலாம் அன்பால் படி கட்டு ஓ ஓ.ஓ ஓ. ஓ ஓ.ஓ ஓ.,யுவன் ஷங்கர் ராஜா,நா முத்துக்குமார்,ராகுல் நம்பியார்,நான் மகான் அல்ல,2010,ஒரு வட்டம்போலே வாழ்வாகும்,வட்டம்,வாழ்வு,குணம் சார்,வாழ்வு சார் வர்ணணை
அரபு நாடே,லஹில லஹிலா லஹில லஹிலா (2)  முகத்தை எப்போதும் மூடி வைக்காதே எனது நெஞ்சத்தில் முள்ளை தைக்காதே  என் கண்மணி காதோடு சொல் உன் முகவரி ஓ ஓ எந்நாளுமே என் பாட்டுக்கு நீ முதல் வரி ஹே ஹே ஹே  முகத்தை எப்போதும் மூடி வைக்காதே எனது நெஞ்சத்தில் முள்ளை தைக்காதே  அரபு நாடே அசந்து நிற்கும் அழகியா நீ உருது கவிஞன் உமர்கயாமின் கவிதையா ஹே ஹே ஹே  ஏ உன்னுடைய நெற்றி உன்னை பற்றி கூறுதே உள்ளிருக்கும் பொட்டு உந்தன் குட்டு சொல்லுதே  என்னுடைய பார்வை கழுகு பார்வை தெரிஞ்சுக்கோ ஓஓ எனக்கிருக்கும் சக்தி பரா சக்தி புரிஞ்சுக்கோ  கால் கொலுசு தான் கல கலக்குது கையின் வளையல் காது குளிர கானம் பாட ஹே ஹே  முகத்தை எப்போதும் மூடி வைக்காதே எனது நெஞ்சத்தில் முள்ளை தைக்காதே  போட்டிருக்கும் கோஷா வேஷம் பேஷா பொருந்துதே பெண் அழகு மொத்தம் காண சித்தம் விரும்புதே  வெண்ணிலாவின் தேகம் மூடும் மேகம் விலகுமா வண்ண உடல் யாவும் காணும் யோகம் வாய்க்குமா  கொஞ்சம் கொழுப்பு கொஞ்சம் திமிரு எனக்கும் இருக்கு உனக்கு மேலே அன்பு தோழி ஹே ஹே  லஹில லஹிலா லஹில லஹிலா (2)  முகத்தை எப்போதும் மூடி வைக்காதே எனது நெஞ்சத்தில் முள்ளை தைக்காதே  லஹில லஹிலா லஹில லஹிலா (2),யுவன் ஷங்கர் ராஜா,வாலி,ஹரிச்சரண்,தொட்டால் பூ மலரும்,2007,என்னுடைய பார்வைகழுகு பார்வை தெரிஞ்சுக்கோ,கழுகு பார்வை,ஆணின் கண் கூர்மை,குணம் சார்,ஆழமான பார்வை
